msv,total_sessions,total_clicks_6w,avg_session_duration_minutes,max_session_duration_minutes,active_days_count,avg_daily_clicks,std_daily_clicks,burst_activity_days,slope_clicks_over_time,long_inactivity_gap,late_night_clicks,morning_clicks,night_clicks,noon_clicks,total_clicks,ratio_morning,ratio_noon,ratio_night,ratio_late_night,circadian_entropy,most_active_period,total_active_days_x,late_night_active_days_x,late_night_day_ratio_x,total_active_days_y,late_night_active_days_y,late_night_day_ratio_y,total_attempts,total_unique_quizzes,quiz_retry_ratio,total_available,total_viewed,resource_view_ratio,total_submitted,total_late,avg_hours_before_deadline,late_ratio,weekly_click_std
11245949,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11245951,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,32,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246408,3.0,18.0,59.51,98.47,3,6.0,4.0,0,-0.6285714285714286,26,5.0,2.0,11.0,0.0,18.0,0.1111,0.0,0.6111,0.2778,1.2997,Night (19-23),3,2,0.0476,3,2,0.6667,0.0,0.0,0.0,34,5.0,0.1471,0.0,0.0,0.0,0.0,4.147288270665544
11246409,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246410,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246411,1.0,3.0,0.1,0.1,1,3.0,0.0,0,-0.2571428571428571,29,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,1.224744871391589
11246414,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246415,1.0,5.0,82.87,82.87,1,5.0,0.0,0,-0.4285714285714285,29,0.0,5.0,0.0,0.0,5.0,1.0,0.0,0.0,0.0,-0.0,Morning (5-11),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,2.0,0.0588,0.0,0.0,0.0,0.0,2.0412414523193148
11246418,1.0,2.0,0.58,0.58,1,2.0,0.0,0,0.0571428571428571,25,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.0,-0.0,Late Night (23-5),1,1,0.0238,1,1,1.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,0.816496580927726
11246419,5.0,26.0,11.73,30.92,4,6.5,5.07,1,-1.9428571428571424,17,0.0,4.0,3.0,19.0,26.0,0.1538,0.7308,0.1154,0.0,1.1055,Noon (11-19),4,0,0.0,4,0,0.0,0.0,0.0,0.0,34,3.0,0.0882,0.0,0.0,0.0,0.0,5.391351098441528
11246420,3.0,13.0,27.83,81.17,3,4.33,1.53,0,-0.0857142857142857,14,0.0,0.0,9.0,4.0,13.0,0.0,0.3077,0.6923,0.0,0.8905,Night (19-23),3,1,0.0238,3,1,0.3333,0.0,0.0,0.0,34,6.0,0.1765,0.0,0.0,0.0,0.0,3.710345895825168
11246425,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246431,3.0,12.0,3.06,3.53,3,4.0,2.0,0,-1.3714285714285712,33,6.0,4.0,0.0,2.0,12.0,0.3333,0.1667,0.0,0.5,1.4592,Late Night (23-5),3,1,0.0238,3,1,0.3333,0.0,0.0,0.0,34,3.0,0.0882,0.0,0.0,0.0,0.0,3.0983866769659336
11246433,1.0,6.0,4.45,4.45,1,6.0,0.0,0,-0.857142857142857,37,0.0,6.0,0.0,0.0,6.0,1.0,0.0,0.0,0.0,-0.0,Morning (5-11),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,2.449489742783178
11246435,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246437,2.0,26.0,15.92,29.85,2,13.0,9.9,0,-1.5428571428571434,19,0.0,0.0,26.0,0.0,26.0,0.0,0.0,1.0,0.0,-0.0,Night (19-23),2,0,0.0,2,0,0.0,0.0,0.0,0.0,34,5.0,0.1471,0.0,0.0,0.0,0.0,8.041558721209878
11246438,1.0,31.0,3.32,3.32,1,31.0,0.0,0,-4.428571428571429,38,0.0,0.0,0.0,31.0,31.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,3.0,0.0882,0.0,0.0,0.0,0.0,12.655697004379752
11246440,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246443,2.0,14.0,1.08,1.68,2,7.0,0.0,0,-1.1999999999999995,23,7.0,0.0,0.0,7.0,14.0,0.0,0.5,0.0,0.5,1.0,Noon (11-19),2,1,0.0238,2,1,0.5,0.0,0.0,0.0,34,5.0,0.1471,0.0,0.0,0.0,0.0,3.614784456460256
11246445,1.0,2.0,0.08,0.08,1,2.0,0.0,0,-0.2857142857142856,38,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,0.816496580927726
11246446,1.0,3.0,47.67,47.67,1,3.0,0.0,0,-0.4285714285714285,37,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,1.224744871391589
11246449,4.0,17.0,0.54,1.58,4,4.25,4.57,1,-0.8285714285714285,15,2.0,12.0,0.0,3.0,17.0,0.7059,0.1765,0.0,0.1176,1.1595,Morning (5-11),4,1,0.0238,4,1,0.25,0.0,0.0,0.0,34,8.0,0.2353,0.0,0.0,0.0,0.0,4.308905506815701
11246451,1.0,11.0,4.52,4.52,1,11.0,0.0,0,0.942857142857143,31,11.0,0.0,0.0,0.0,11.0,0.0,0.0,0.0,1.0,-0.0,Late Night (23-5),1,1,0.0238,1,1,1.0,0.0,0.0,0.0,34,6.0,0.1765,0.0,0.0,0.0,0.0,4.4907311951024935
11246453,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246455,1.0,6.0,0.73,0.73,1,6.0,0.0,0,0.5142857142857143,30,0.0,0.0,0.0,6.0,6.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,2.0,0.0588,0.0,0.0,0.0,0.0,2.449489742783178
11246457,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246461,1.0,3.0,0.75,0.75,1,3.0,0.0,0,-0.2571428571428571,33,0.0,0.0,0.0,3.0,3.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,2.0,0.0588,0.0,0.0,0.0,0.0,1.224744871391589
11246463,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246467,4.0,10.0,0.82,2.95,4,2.5,1.0,0,-0.9714285714285712,19,0.0,6.0,4.0,0.0,10.0,0.6,0.0,0.4,0.0,0.971,Morning (5-11),4,1,0.0238,4,1,0.25,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,2.3380903889000244
11246470,1.0,2.0,0.07,0.07,1,2.0,0.0,0,-0.2857142857142856,38,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,0.816496580927726
11246476,1.0,12.0,21.22,21.22,1,12.0,0.0,0,-1.714285714285714,37,0.0,0.0,0.0,12.0,12.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,4.898979485566356
11246478,1.0,1.0,0.0,0.0,1,1.0,0.0,0,-0.1428571428571428,40,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,-0.0,Late Night (23-5),1,1,0.0238,1,1,1.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.408248290463863
11246480,1.0,2.0,0.12,0.12,1,2.0,0.0,0,-0.2857142857142856,38,0.0,0.0,0.0,2.0,2.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,0.816496580927726
11246484,1.0,5.0,0.67,0.67,1,5.0,0.0,0,-0.4285714285714285,34,0.0,0.0,0.0,5.0,5.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,2.0412414523193148
11246486,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246498,1.0,6.0,2.13,2.13,1,6.0,0.0,0,-0.857142857142857,39,0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,-0.0,Night (19-23),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,3.0,0.0882,0.0,0.0,0.0,0.0,2.449489742783178
11246501,1.0,6.0,57.08,57.08,1,6.0,0.0,0,-0.857142857142857,38,0.0,0.0,6.0,0.0,6.0,0.0,0.0,1.0,0.0,-0.0,Night (19-23),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,3.0,0.0882,0.0,0.0,0.0,0.0,2.449489742783178
11246502,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246504,2.0,5.0,0.38,0.62,2,2.5,0.71,0,-0.2,24,0.0,0.0,5.0,0.0,5.0,0.0,0.0,1.0,0.0,-0.0,Night (19-23),2,1,0.0238,2,1,0.5,0.0,0.0,0.0,34,3.0,0.0882,0.0,0.0,0.0,0.0,1.3291601358251257
11246508,1.0,4.0,0.32,0.32,1,4.0,0.0,0,-0.5714285714285712,38,0.0,0.0,0.0,4.0,4.0,0.0,1.0,0.0,0.0,-0.0,Noon (11-19),1,0,0.0,1,0,0.0,0.0,0.0,0.0,34,1.0,0.0294,0.0,0.0,0.0,0.0,1.632993161855452
11246510,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246512,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11246518,2.0,6.0,0.45,0.72,2,3.0,1.41,0,-0.1714285714285713,21,2.0,0.0,0.0,4.0,6.0,0.0,0.6667,0.0,0.3333,0.9183,Noon (11-19),2,1,0.0238,2,1,0.5,0.0,0.0,0.0,34,2.0,0.0588,0.0,0.0,0.0,0.0,1.6733200530681511
11246520,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0.0,0.0,0.0,0.0,34,0.0,0.0,0.0,0.0,0.0,0.0,0.0
